Country,year,New_cases,New_deaths,perc_c,perc_d
Brazil,2020,7563551,192681,22.4,28.4
Brazil,2021,14700283,426136,43.6,62.9
Brazil,2022,11440559,58987,33.9,8.7
France,2020,2564972,64004,7.8,43.1
France,2021,6917610,56958,21.1,38.4
France,2022,23285870,27500,71.1,18.5
Germany,2020,1734998,50323,5.6,35.0
Germany,2021,5431876,67628,17.6,47.0
Germany,2022,23620435,25904,76.7,18.0
India,2020,10266674,148738,23.3,28.3
India,2021,24572130,332342,55.9,63.2
India,2022,9140926,45178,20.8,8.6
Italy,2020,2083689,73604,10.0,42.9
Italy,2021,3897739,63643,18.7,37.1
Italy,2022,14916631,34391,71.4,20.0
Republic of Korea,2020,60722,900,0.3,3.6
Republic of Korea,2021,570113,4663,2.9,18.7
Republic of Korea,2022,18989682,19429,96.8,77.7
Russian Federation,2020,3159297,57019,17.0,14.9
Russian Federation,2021,7340685,251841,39.5,65.9
Russian Federation,2022,8076991,73492,43.5,19.2
The United Kingdom,2020,2566258,75201,11.0,40.9
The United Kingdom,2021,10877784,74592,46.7,40.5
The United Kingdom,2022,9860889,34160,42.3,18.6
Turkey,2020,2194272,20642,14.1,20.8
Turkey,2021,7247492,61556,46.7,62.1
Turkey,2022,6082307,16986,39.2,17.1
United States of America,2020,19582032,352081,21.8,34.6
United States of America,2021,33968577,466985,37.8,45.8
United States of America,2022,36253179,199604,40.4,19.6
